"Factor","Description"
"Risk of technical debt from a fast MVP","Due to the pressure to have an MVP ready by the end of 2026, there is a risk that certain aspects of the architecture (multitenancy, security, integrations) are implemented pragmatically for the first pilot rather than fully future‑proofed, leading to potentially expensive refactoring when scaling to many cities and cross‑border deployments."
"Opportunities",""
"Growing global road maintenance and digitalisation market","The global road maintenance market is projected to grow from roughly 13–14 billion USD in 2022 to more than 22 billion USD by 2032, with a CAGR around 5%, driven by ageing infrastructure and increased government spending and efficiency requirements.gminsights+2 This macro trend increases openness of public authorities to invest in digital tools that improve transparency, responsiveness and resource utilisation. Next step (2026–2027): Explicitly integrate these market growth figures into the business plan and sales deck to strengthen the ROI narrative for Serbian and regional road authorities and utilities."
"Local gap in specialised solutions in the Western Balkans","Global tools (e.g. FixMyStreet) and generic field‑service platforms are well established in Western Europe but only weakly present in the Western Balkans, where many road authorities still rely on phones, paper and Excel for issue reporting and work management.fixmystreet+2 Next step (2027): Finalise the MVP by the end of 2026 and in 2027 launch pilots specifically with (1) the public road utility in my home city and (2) the large road maintenance company employing our domain expert, positioning them as “design partners” with preferential terms and building public case studies around their results."
"EIT Urban Mobility and related EU programmes","EIT Urban Mobility and connected EU initiatives provide equity‑free grants, acceleration support, mentoring and direct access to cities as “living labs” for early‑stage mobility startups that reduce congestion and emissions and improve transport efficiency.eit.europa+2 Next step (June 2026): Submit an application to the most relevant EIT Urban Mobility accelerator / call during June 2026, clearly outlining RoadMaintain’s impact on CO₂ reduction and operational efficiency and specifying the 2027 pilot plan with the local public road utility and road maintenance company as core use cases."
"RIS hubs and strengthening of mobility innovation in the region","EIT Urban Mobility RIS hubs and similar initiatives in the Western Balkans explicitly aim to connect cities, academia and industry, and to identify and scale the region’s most promising mobility startups.fablab+1 Next step (2026): Formalise collaboration with the local European House and the public road utility as institutional partners for EIT/RIS applications, using them as “city partners” providing letters of support and offering their city as a pilot site."
"Upselling via GIS, GPS and IoT integrations","The product roadmap foresees future integration with vehicle GPS systems and IoT telemetry (e.g. winter service salt spreaders), enabling advanced modules such as fleet optimisation dashboards and automated environmental and operational reporting.Business-Plan-Road-Incident-Reporting-Maintenance-System.pdf Next step (from 2027 onward): After successful pilots, prioritise one high‑impact Phase 2 module (for example, GPS‑based winter service monitoring) and prepare it as a separate innovation work package for future EIT or Horizon Europe calls, with existing pilot customers as reference sites."
"Partnerships with academia and civil society","Universities (transport, civil engineering, computer science) and NGOs active in sustainable mobility seek practical projects for research, student work and EU‑funded collaborations, especially those involving citizen participation and environmental benefits.rcc+1 Next step (2026–2027): Establish at least one partnership with a technical faculty and one mobility‑focused NGO to use RoadMaintain as a real‑world platform for student projects, pilots and joint EU proposals, increasing both credibility and capacity."
"Threats",""
"Entry of global players into the region","If platforms like FixMyStreet, or configurable field‑service solutions backed by strong system integrators, decide to enter the Western Balkans more aggressively, they can leverage brand recognition and references from mature EU markets to win larger public tenders before RoadMaintain has fully established itself.fixmystreet+1"
"Public sector inertia and adoption risks","Studies and pilot projects around citizen‑driven road maintenance highlight challenges such as institutional reluctance to change existing workflows, concerns about quality of citizen reports and difficulties integrating new tools into legacy processes.scribd This can result in authorities informally continuing to rely on phones and paper despite adopting a new system on paper."
"Limited budgets and shifting priorities","In lower‑income countries, a high share of road budgets is devoted to physical works and equipment, while IT systems may be perceived as secondary, especially during periods of fiscal pressure, elections or crises.gminsights+1 This can reduce or delay available funding for SaaS platforms like RoadMaintain."
"Regulatory and political uncertainty","Changes in public procurement law, leadership changes at the municipal or national level, or shifts in EU and national funding priorities could deprioritise digitalisation of road maintenance in favour of other mobility or infrastructure themes (e.g. public transport, cycling infrastructure, lighting)."
"Data, security and trust risks","Misuse of the platform (spam reports, false incidents), data breaches or public criticism around transparency and responsiveness could undermine trust in the system during its early roll‑out phase, making it harder to expand into additional cities."
"Competition from generic tools and integrators","Generic ticketing and field‑service tools (e.g. configurable project or task management platforms) combined with local system integrators can offer “good enough” customised solutions for some municipalities, competing primarily on existing relationships and tender experience rather than on domain‑specific depth.planfix"
